"ITEM","CODE","VALUE","SCORE","UNWTD","UNWTD %","WTD","WTD %","AVGE MEAS","P.SD MEAS","S.E. MEAS","INFIT MNSQ","OUTFIT MNSQ","PTMA","LABEL"
11,"A",0,0,67,29.2576,67.0000,29.2576,-.7306,.6096,.0750,.9416,1.0053,-.0599,"MAT11"
11,"B",0,0,58,25.3275,58.0000,25.3275,-.8270,.5982,.0792,.8981,.9183,-.1515,"MAT11"
11,"C",0,0,53,23.1441,53.0000,23.1441,-.5556,.6435,.0892,1.2375,1.2488,.1156,"MAT11"
11,"D",1,1,23,10.0437,23.0000,10.0437,-.4246,.6002,.1280,1.1046,1.0413,.1443,"MAT11"
12,"*",0,0,39,17.0306,39.0000,17.0306,-1.2186,.9081,.1473,.8702,.8034,-.2923,"MAT12"
12,"A",0,0,18,7.8603,18.0000,7.8603,-.9173,.6349,.1540,.9397,.9463,-.1335,"MAT12"
12,"B",0,0,48,20.9607,48.0000,20.9607,-.6890,.6146,.0896,1.1546,1.2497,-.0353,"MAT12"
12,"C",1,1,87,37.9913,87.0000,37.9913,-.5556,.6148,.0663,1.0606,1.0728,.1333,"MAT12"
12,"D",0,0,37,16.1572,37.0000,16.1572,-.6896,.7259,.1210,1.2578,1.3010,-.0303,"MAT12"
13,"*",0,0,32,13.9738,32.0000,13.9738,-1.3205,1.0209,.1834,.9400,.8155,-.3161,"MAT13"
13,"A",0,0,34,14.8472,34.0000,14.8472,-.9149,.5165,.0899,.8592,.8809,-.1911,"MAT13"
13,"B",0,0,59,25.7642,59.0000,25.7642,-.7628,.6898,.0906,1.1208,1.1684,-.1145,"MAT13"
13,"C",0,0,28,12.2271,28.0000,12.2271,-.5975,.4761,.0916,1.1262,1.2067,.0364,"MAT13"
13,"D",1,1,76,33.1878,76.0000,33.1878,-.4720,.6057,.0699,1.0152,.9844,.2299,"MAT13"
14,"*",0,0,20,8.7336,20.0000,8.7336,-1.4925,1.0953,.2513,.8496,.7081,-.3154,"MAT14"
14,"A",0,0,16,6.9869,16.0000,6.9869,-1.0490,.5186,.1339,.7825,.7846,-.1674,"MAT14"
14,"B",0,0,53,23.1441,53.0000,23.1441,-.8738,.5690,.0789,.9529,.9702,-.1800,"MAT14"
14,"C",0,0,51,22.2707,51.0000,22.2707,-.8090,.5398,.0763,1.0012,1.0214,-.1182,"MAT14"
14,"D",1,1,89,38.8646,89.0000,38.8646,-.4131,.6597,.0703,.9612,.9383,.3511,"MAT14"
15,"*",0,0,35,15.2838,35.0000,15.2838,-1.1629,1.0805,.1853,1.1073,.9985,-.2417,"MAT15"
15,"A",0,0,31,13.5371,31.0000,13.5371,-.6632,.6418,.1172,1.1983,1.2364,.0058,"MAT15"
15,"B",0,0,44,19.2140,44.0000,19.2140,-.8337,.4698,.0716,.9421,.9831,-.1418,"MAT15"
15,"C",1,1,91,39.7380,91.0000,39.7380,-.5892,.6590,.0695,1.1117,1.1082,.1247,"MAT15"
15,"D",0,0,28,12.2271,28.0000,12.2271,-.6929,.6204,.1194,1.1656,1.2139,-.0142,"MAT15"
16,"*",0,0,28,12.2271,28.0000,12.2271,-1.3084,.8424,.1621,.7307,.6639,-.2866,"MAT16"
16,"A",0,0,36,15.7205,36.0000,15.7205,-.9336,.7062,.1194,.8227,.8626,-.1825,"MAT16"
16,"B",0,0,85,37.1179,85.0000,37.1179,-.6385,.5605,.0612,1.0804,1.1492,.0376,"MAT16"
16,"C",1,1,45,19.6507,45.0000,19.6507,-.5287,.7992,.1205,1.1070,1.3432,.1104,"MAT16"
16,"D",0,0,35,15.2838,35.0000,15.2838,-.6473,.6709,.1151,1.2151,1.2116,.0142,"MAT16"
17,"*",0,0,25,10.9170,25.0000,10.9170,-1.5787,.9411,.1921,.6976,.6043,-.3981,"MAT17"
17,"A",0,0,35,15.2838,35.0000,15.2838,-.7963,.4411,.0756,1.0185,1.0483,-.1096,"MAT17"
17,"B",1,1,114,49.7817,114.0000,49.7817,-.4369,.6351,.0597,.9333,.9044,.3708,"MAT17"
17,"C",0,0,33,14.4105,33.0000,14.4105,-.8716,.5165,.0913,.9892,.9940,-.1583,"MAT17"
17,"D",0,0,22,9.6070,22.0000,9.6070,-1.1386,.5490,.1198,.7828,.7742,-.2725,"MAT17"
18,"*",0,0,30,13.1004,30.0000,13.1004,-1.4375,.9662,.1794,.7854,.6631,-.3667,"MAT18"
18,"A",1,1,61,26.6376,61.0000,26.6376,-.3283,.6301,.0813,.9240,.8988,.3334,"MAT18"
18,"B",0,0,36,15.7205,36.0000,15.7205,-.6765,.6441,.1089,1.1095,1.1527,-.0256,"MAT18"
18,"C",0,0,50,21.8341,50.0000,21.8341,-.7731,.4927,.0704,.9221,.9801,-.1209,"MAT18"
18,"D",0,0,52,22.7074,52.0000,22.7074,-.8616,.5785,.0810,.9464,.9649,-.2081,"MAT18"
19,"*",0,0,38,16.5939,38.0000,16.5939,-1.4220,.8481,.1394,.6775,.6227,-.4118,"MAT19"
19,"A",0,0,42,18.3406,42.0000,18.3406,-.5405,.5085,.0794,1.1959,1.2717,.0609,"MAT19"
19,"B",1,1,74,32.3144,74.0000,32.3144,-.4214,.6935,.0812,.9992,.9930,.2429,"MAT19"
19,"C",0,0,46,20.0873,46.0000,20.0873,-.8393,.5214,.0777,.9017,.9399,-.2048,"MAT19"
19,"D",0,0,29,12.6638,29.0000,12.6638,-.8425,.5479,.1035,.9535,.9930,-.1561,"MAT19"
20,"*",0,0,27,11.7904,27.0000,11.7904,-1.4291,1.0234,.2007,.8644,.7044,-.3410,"MAT20"
20,"A",0,0,43,18.7773,43.0000,18.7773,-.8626,.7373,.1138,1.0896,1.0544,-.1712,"MAT20"
20,"B",1,1,60,26.2009,60.0000,26.2009,-.5049,.6129,.0798,1.0897,1.0436,.1553,"MAT20"
20,"C",0,0,46,20.0873,46.0000,20.0873,-.8057,.5106,.0761,.9114,.9592,-.1297,"MAT20"
20,"D",0,0,53,23.1441,53.0000,23.1441,-.5270,.5668,.0786,1.2117,1.2966,.1216,"MAT20"
21,"*",0,0,31,13.5371,31.0000,13.5371,-1.4272,.7376,.1347,.6329,.5903,-.3681,"MAT21"
21,"A",1,1,86,37.5546,86.0000,37.5546,-.4254,.6589,.0715,.9663,.9752,.2803,"MAT21"
21,"B",0,0,59,25.7642,59.0000,25.7642,-.7870,.6079,.0798,1.0591,1.0839,-.1428,"MAT21"
21,"C",0,0,40,17.4672,40.0000,17.4672,-.8240,.6880,.1102,1.0135,1.0322,-.1380,"MAT21"
21,"D",0,0,13,5.6769,13.0000,5.6769,-.8261,.5545,.1601,.9992,1.0280,-.0736,"MAT21"
22,"*",0,0,15,6.5502,15.0000,6.5502,-1.8550,.7425,.1984,.4569,.4008,-.4011,"MAT22"
22,"A",1,1,110,48.0349,110.0000,48.0349,-.4900,.6908,.0662,.9792,1.1189,.2767,"MAT22"
22,"B",0,0,40,17.4672,40.0000,17.4672,-.8518,.5527,.0885,1.0046,1.0503,-.1319,"MAT22"
